variable_name	variable_source	variable_name_original	variable_title	variable_title_extended	variable_type	value_minimum	value_maximum	value_options
state	COSD	State	Name of state		string	California	California	California
county	COSD	County	Name of county		string	Alameda	Yuba	Alameda, Alpine, Amador, Butte, Calaveras, Colusa, Contra Costa, Del Norte, El Dorado, Fresno, Glenn, Humboldt, Imperial, Inyo, Kern, Kings, Lake, Lassen, Los Angeles, Madera, Marin, Mariposa, Mendocino, Merced, Modoc, Mono, Monterey, Napa, Nevada, Orange, Placer, Plumas, Riverside, Sacramento, San Benito, San Bernardino, San Diego, San Francisco, San Joaquin, San Luis Obispo, San Mateo, Santa Barbara, Santa Clara, Santa Cruz, Shasta, Sierra, Siskiyou, Solano, Sonoma, Stanislaus, Sutter, Tehama, Trinity, Tulare, Tuolumne, Ventura, Yolo, Yuba
medicare_tot_opioid_prscrbrs	CMS	Tot_Opioid_Prscrbrs	Part D Opioid Prescribers	The number of Medicare Part D providers prescribing opioid drugs.	float	0	1429	
medicare_tot_opioid_clms	CMS	Tot_Opioid_Clms	Opioid Claims	The number of Medicare Part D opioid drug claims, including original prescriptions and refills.	float	0	80173	
medicare_tot_clms	CMS	Tot_Clms	Overall Claims	The number of Medicare Part D drug claims, including original prescriptions and refills.	float	11	1394844	
medicare_opioid_prscrbng_rate	CMS	Opioid_Prscrbng_Rate	Opioid Prescribing Rate	The number of Opioid Claims divided by the Overall Claims and multiplied by 100.	float	0	77.42	
medicare_opioid_prscrbng_rate_5y_chg	CMS	Opioid_Prscrbng_Rate_5Y_Chg	Five Year Change in Opioid Prescribing Rate	The percentage point difference in the opioid prescribing rate from five years previous to the data year, which is calculated by subtracting the rate five years previous from the rate in the data year. At each geographic level, the change in the prescribing rate is displayed as an increase, decrease, or no change. At the state level, an increase reflects a percentage point difference of at least 0.10 and a decrease reflects a difference of at least -0.10; at the county and ZIP code-levels, an increase reflects a difference of at least 1.0 and a decrease reflects a difference of at least -1.0.	float	-68.8	71.09	
medicare_opioid_prscrbng_rate_1y_chg	CMS	Opioid_Prscrbng_Rate_1Y_Chg	One Year Change in Opioid Prescribing Rate	The percentage point difference in the opioid prescribing rate from one year previous to the data year, which is calculated by subtracting the rate one year previous from the rate in the data year. At each geographic level, the change in the prescribing rate is displayed as an increase, decrease, or no change. At the state level, an increase reflects a percentage point difference of at least 0.10 and a decrease reflects a difference of at least -0.10; at the county and ZIP code-levels, an increase reflects a difference of at least 1.0 and a decrease reflects a difference of at least -1.0.	float	-62.17	42.8	
medicare_la_tot_opioid_clms	CMS	LA_Tot_Opioid_Clms	Long-Acting Opioid Claims	The number of Medicare Part D opioid drug claims that are considered long-acting, including original prescriptions and refills.	float	0	10366	
medicare_la_opioid_prscrbng_rate	CMS	LA_Opioid_Prscrbng_Rate	Long-Acting Opioid Prescribing Rate	The number of Long-Acting Opioid Claims divided by the Opioid Claims and multiplied by 100.	float	0	44	
medicare_la_opioid_prscrbng_rate_5y_chg	CMS	LA_Opioid_Prscrbng_Rate_5Y_Chg	Five Year Change in Long-Acting Opioid Prescribing Rate	The percentage point difference in the long-acting opioid prescribing rate from five years previous to the data year, which is calculated by subtracting the rate five years previous from the rate in the data year. At each geographic level, the change in the prescribing rate is displayed as an increase, decrease, or no change. At the state level, an increase reflects a percentage point difference of at least 0.10 and a decrease reflects a difference of at least -0.10; at the county and ZIP code-levels, an increase reflects a difference of at least 1.0 and a decrease reflects a difference of at least -1.0.	float	-46.72	35.91	
medicare_la_opioid_prscrbng_rate_1y_chg	CMS	LA_Opioid_Prscrbng_Rate_1Y_Chg	One Year Change in Long-Acting Opioid Prescribing Rate	The percentage point difference in the long-acting opioid prescribing rate from one year previous to the data year, which is calculated by subtracting the rate one year previous from the rate in the data year. At each geographic level, the change in the prescribing rate is displayed as an increase, decrease, or no change. At the state level, an increase reflects a percentage point difference of at least 0.10 and a decrease reflects a difference of at least -0.10; at the county and ZIP code-levels, an increase reflects a difference of at least 1.0 and a decrease reflects a difference of at least -1.0.	float	-41.34	32.5	
