Zip Code,Year,ZBP_Total_Establishments,ZBP_Total_Employees,ZBP_Annual_Payroll_Thousands
90702,2010,12,105,3392
90716,2010,187,3542,106753
92260,2010,1506,17707,534404
92222,2010,1,0,0
92223,2010,421,4825,134625
92286,2010,10,40,901
92266,2010,3,0,122
92234,2010,792,7993,214711
91383,2010,1,0,0
91357,2010,34,207,8908
90717,2010,465,3275,88108
90711,2010,1,0,0
90707,2010,9,93,3338
90712,2010,613,9347,284164
90703,2010,1603,29598,1207285
90671,2010,1,0,0
90701,2010,669,8312,302047
90706,2010,1057,11967,472165
90732,2010,334,3039,97844
90680,2010,507,5616,171330
90714,2010,15,313,5468
90661,2010,1,0,0
90670,2010,2302,49065,2297522
90721,2010,4,39,939
90651,2010,11,116,1883
90733,2010,11,0,892
90734,2010,5,0,227
90715,2010,102,559,11454
90723,2010,1029,15112,596084
90740,2010,604,8785,510798
90742,2010,46,372,15370
90743,2010,11,87,2435
90713,2010,265,3158,67205
90650,2010,1023,17126,544452
90652,2010,1,0,0
90660,2010,793,13028,464899
90744,2010,672,9251,476609
90731,2010,861,8829,349012
92249,2010,24,474,13230
92251,2010,170,1647,64500
92211,2010,746,10602,315279
92252,2010,75,1046,34353
92259,2010,8,0,0
92239,2010,3,3,131
92255,2010,20,102,3151
92225,2010,263,2394,67716
92235,2010,14,231,6448
92240,2010,226,1934,39101
92257,2010,14,107,1742
92263,2010,40,889,37792
92232,2010,7,0,969
92261,2010,12,89,2337
92276,2010,175,1811,66090
92236,2010,275,4527,145183
92250,2010,72,571,21745
92253,2010,717,8747,247809
92233,2010,33,445,26452
92242,2010,15,0,0
92244,2010,23,356,6005
92258,2010,45,638,32035
92277,2010,188,1560,32921
92280,2010,5,0,0
92220,2010,364,4376,132172
92254,2010,39,370,10488
92256,2010,38,195,3385
92282,2010,9,144,8671
92283,2010,17,157,5067
92231,2010,595,5905,124820
92262,2010,1083,15054,541144
92278,2010,31,608,21788
92281,2010,26,202,5806
92284,2010,427,3690,95692
92210,2010,205,3964,132939
92243,2010,1002,13319,385601
92285,2010,8,18,175
92241,2010,64,343,10004
92264,2010,461,5078,148812
92301,2010,156,2380,94653
92268,2010,11,65,1523
92226,2010,10,45,760
92247,2010,5,4,233
92304,2010,4,29,940
92307,2010,556,7057,243607
92248,2010,4,0,0
92305,2010,16,93,1488
92274,2010,100,1057,31935
92275,2010,8,19,543
92227,2010,348,5751,203224
92267,2010,7,53,1706
92270,2010,735,13103,521862
92273,2010,8,0,1034
92230,2010,161,4147,115372
91325,2010,710,10459,555035
91316,2010,1204,8092,336913
91322,2010,12,0,1032
91319,2010,9,0,0
91225,2010,3,0,0
91308,2010,13,173,2908
91331,2010,835,11154,427548
91335,2010,1005,9019,268329
91226,2010,3,0,181
91320,2010,1094,0,0
91324,2010,1457,15957,476933
91301,2010,1258,13042,800066
91302,2010,1507,12901,1031851
91326,2010,497,4798,125689
91327,2010,4,34,1273
91337,2010,2,0,0
91340,2010,667,10340,391153
91309,2010,10,66,1723
91321,2010,752,6751,192826
91328,2010,24,135,5378
91341,2010,7,102,2063
91310,2010,8,0,1896
91304,2010,863,12957,527229
91305,2010,5,0,1192
91307,2010,616,5907,220187
91342,2010,884,22201,1063889
91306,2010,433,2757,69913
91311,2010,1946,36220,1603852
91313,2010,14,316,20915
91329,2010,3,0,0
91330,2010,15,0,0
91343,2010,562,7408,215956
91333,2010,4,0,0
91334,2010,2,0,0
91303,2010,985,13489,537134
91367,2010,1906,43855,2756012
91354,2010,262,1240,39474
91359,2010,22,22,3109
91372,2010,10,99,4133
91364,2010,1856,13271,577165
91346,2010,9,72,2889
91381,2010,387,4044,100668
91345,2010,357,6135,312245
91360,2010,1389,16719,734575
91361,2010,1402,14323,962027
91384,2010,256,1554,49807
91350,2010,670,7618,242539
91393,2010,1,0,0
91376,2010,12,0,817
91124,2010,8,1158,113984
91201,2010,595,14614,913995
91221,2010,14,0,0
91362,2010,1749,19289,1114798
91382,2010,1,0,0
91387,2010,323,2066,64283
91356,2010,1632,12002,493160
91386,2010,8,21,456
91385,2010,7,12,397
91390,2010,206,874,31476
91395,2010,5,12,397
91365,2010,13,0,0
91396,2010,1,0,0
91352,2010,1208,17803,740938
91353,2010,12,476,35680
91355,2010,2130,47761,2132123
91394,2010,6,13,167
