variable_name,variable_type,value_minimum,value_maximum
state,str,California,California
county,str,Alameda,Yuba
full_fips,int64,6001,6115
zip_code,int64,90001,96162
year,int64,2010,2024
death_age_adjusted_rate,float64,0.0,7323.456
death_95_lcl,float64,0.011,701.942
death_95_ucl,float64,7.546,40803.685
death_stability,str,not_applicable,unstable
ed_age_adjusted_rate,float64,0.0,10067.859
ed_95_lcl,float64,0.011,2497.277
ed_95_ucl,float64,8.898,56094.521
ed_stability,str,not_applicable,unstable
hosp_age_adjusted_rate,float64,0.0,8602.141
hosp_95_lcl,float64,0.017,287.144
hosp_95_ucl,float64,7.478,47928.065
hosp_stability,str,not_applicable,unstable
rx_age_adjusted_rate,float64,0.0,8840.978
rx_95_lcl,float64,0.006,7652.601
rx_95_ucl,float64,7.717,10205.072
rx_stability,str,not_applicable,unstable
total_population,float64,0.0,111165.0
median_age,float64,4.1,83.3
pop_white_alone,float64,0.0,81408.0
pop_black_or_african_american,float64,0.0,32770.0
pop_american_indian_and_alaska_native,float64,0.0,3677.0
pop_asian,float64,0.0,56708.0
pop_hispanic_or_latino,float64,0.0,101183.0
median_household_income,float64,2499.0,250001.0
income_inequality_gini_index,float64,0.0006,0.7804
poverty_total_pop_universe,float64,0.0,110261.0
poverty_pop_below_poverty_level,float64,0.0,45200.0
employment_civilian_labor_force,float64,0.0,53474.0
employment_unemployed,float64,0.0,7902.0
snap_total_households,float64,0.0,33730.0
snap_households_receiving_snap,float64,0.0,9019.0
public_assistance_total_households,float64,0.0,33730.0
public_assistance_receiving_cash_assistance,float64,0.0,3334.0
education_pop_25_universe,float64,0.0,69804.0
education_no_schooling_completed,float64,0.0,6315.0
education_high_school_diploma,float64,0.0,18887.0
education_bachelor_s_degree,float64,0.0,20327.0
housing_total_occupied_units,float64,0.0,33730.0
housing_owner_occupied,float64,0.0,24330.0
housing_renter_occupied,float64,0.0,28535.0
housing_median_gross_rent,float64,99.0,3501.0
plumbing_total_units,float64,0.0,39490.0
plumbing_lacking_complete_plumbing,float64,0.0,2180.0
vehicles_total_households,float64,0.0,33730.0
vehicles_no_vehicle_available,float64,0.0,18806.0
commute_total_workers_16,float64,0.0,49495.0
commute_public_transportation,float64,0.0,18354.0
social_foreign_born_population,float64,0.0,50964.0
households_total_universe,float64,0.0,33730.0
households_female_single_parent_with_kids,float64,0.0,8921.0
households_living_alone,float64,0.0,20254.0
internet_total_households,float64,0.0,33532.0
internet_no_internet_access,float64,0.0,9610.0
health_insurance_total_population,float64,0.0,111004.0
