Imperial Hospitalizations - by Zip Code 2012,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
92227,18.72,5.054,54.204,Rate is unstable interpret with caution
92231,8.426,1.58,28.187,Rate is unstable interpret with caution
92233,23.678,4.641,107.208,Rate is unstable interpret with caution
92243,5.808,1.178,19.493,Rate is unstable interpret with caution
92249,20.52,0.52,128.429,Rate is unstable interpret with caution
92250,0,,,Not applicable
92251,8,0.203,76.395,Rate is unstable interpret with caution
92257,132.861,8.134,1602.516,Rate is unstable interpret with caution
92259,0,,,Not applicable
92274,8.629,0.218,88.024,Rate is unstable interpret with caution
92281,0,,,Not applicable
92283,0,,,Not applicable
California,12.32,11.975,12.675,Rate is stable
Imperial,10.353,6.175,16.582,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
