Los Angeles Hospitalizations - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90650,9.343,4.365,18.444,Rate may be unstable
90660,18.04,9.105,34.078,Rate is stable
90670,50.324,24.968,96.332,Rate may be unstable
90701,10.485,0.966,52.93,Rate is unstable interpret with caution
90703,0.734,0.019,13.464,Rate is unstable interpret with caution
90704,0,,,Not applicable
90706,5.744,1.534,15.292,Rate is unstable interpret with caution
90710,4.082,0.103,26.849,Rate is unstable interpret with caution
90712,8.749,1.804,29.631,Rate is unstable interpret with caution
90713,8.334,0.934,35.4,Rate is unstable interpret with caution
90715,6.184,0.157,37.902,Rate is unstable interpret with caution
90716,8.192,0.207,54.14,Rate is unstable interpret with caution
90717,13.685,1.621,53.078,Rate is unstable interpret with caution
90723,15.087,6.166,32.544,Rate may be unstable
90731,28.568,17.299,45.647,Rate is stable
90732,13.058,1.386,52.81,Rate is unstable interpret with caution
90740,2.739,0.447,66.312,Rate is unstable interpret with caution
90744,17.781,8.032,35.241,Rate may be unstable
90745,6.251,1.619,18.673,Rate is unstable interpret with caution
90746,0,,,Not applicable
90747,0,,,Not applicable
90755,8.8,0.223,70.693,Rate is unstable interpret with caution
90802,23.365,9.946,53.838,Rate may be unstable
90803,0,,,Not applicable
90804,17.417,5.467,43.982,Rate may be unstable
90805,11.89,5.359,23.177,Rate may be unstable
90806,24.27,11.485,48.679,Rate may be unstable
90807,2.779,0.07,21.119,Rate is unstable interpret with caution
90808,0,,,Not applicable
90810,17.503,5.898,44.235,Rate may be unstable
90813,48.537,30.584,75.157,Rate is stable
90814,0,,,Not applicable
90815,0,,,Not applicable
90822,0,,,Not applicable
90840,0,,,Not applicable
91001,1.614,0.041,19.18,Rate is unstable interpret with caution
91006,13.957,4.414,39.635,Rate may be unstable
91007,1.585,0.04,20.692,Rate is unstable interpret with caution
91008,0,,,Not applicable
91010,2.119,0.054,23.063,Rate is unstable interpret with caution
91011,0,,,Not applicable
