Amador ED Visits - by Zip Code 2017,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95629,0,,,Not applicable
95640,75.223,32.078,175.564,Rate may be unstable
95642,54.361,7.832,237.597,Rate is unstable interpret with caution
95665,0,,,Not applicable
95666,73.865,1.87,411.549,Rate is unstable interpret with caution
95669,0,,,Not applicable
95685,8.043,0.204,199.799,Rate is unstable interpret with caution
95689,0,,,Not applicable
Amador,43.413,24.322,75.792,Rate is stable
California,20.163,19.727,20.605,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
