Kern ED Visits - by Zip Code 2014,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93203,0,,,Not applicable
93205,45.722,3.843,1514.285,Rate is unstable interpret with caution
93206,0,,,Not applicable
93215,4.22,0.511,22.202,Rate is unstable interpret with caution
93224,0,,,Not applicable
93225,21.057,0.533,175.368,Rate is unstable interpret with caution
93226,0,,,Not applicable
93238,0,,,Not applicable
93240,59.017,15.793,319.005,Rate is unstable interpret with caution
93241,0,,,Not applicable
93243,0,,,Not applicable
93249,0,,,Not applicable
93250,12.421,1.475,214.604,Rate is unstable interpret with caution
93251,0,,,Not applicable
93252,0,,,Not applicable
93255,0,,,Not applicable
93263,5.577,0.141,54.072,Rate is unstable interpret with caution
93268,77.059,40.228,151.721,Rate is stable
93276,0,,,Not applicable
93280,6.967,0.707,55.372,Rate is unstable interpret with caution
93283,0,,,Not applicable
93285,246.393,6.238,2332.847,Rate is unstable interpret with caution
93287,0,,,Not applicable
93301,46.614,14.637,119.646,Rate may be unstable
93304,37.832,22.217,62.342,Rate is stable
93305,57.638,35.801,92.081,Rate is stable
93306,18.874,9.631,34.496,Rate is stable
93307,13.632,6.242,29.029,Rate may be unstable
93308,72.274,50.86,100.57,Rate is stable
93309,25.078,13.965,42.558,Rate is stable
93311,17.1,7.259,41.49,Rate may be unstable
93312,17.129,7.566,36.006,Rate may be unstable
93313,9.922,2.686,36.879,Rate is unstable interpret with caution
93314,37.547,16.783,130.282,Rate may be unstable
93461,0,,,Not applicable
93501,118.584,22.144,413.658,Rate is unstable interpret with caution
93505,31.945,9.773,241.709,Rate may be unstable
93516,40.257,1.019,840.151,Rate is unstable interpret with caution
93518,0,,,Not applicable
93519,0,,,Not applicable
93523,0,,,Not applicable
93524,0,,,Not applicable
93527,107.667,12.469,971.976,Rate is unstable interpret with caution
93528,0,,,Not applicable
93531,0,,,Not applicable
93536,37.165,23.602,56.86,Rate is stable
93554,0,,,Not applicable
93555,45.866,25.195,78.456,Rate is stable
93560,30.315,12.096,105.293,Rate may be unstable
93561,35.918,18.71,65.182,Rate is stable
California,18.31,17.893,18.738,Rate is stable
Kern,26.968,23.565,30.798,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
