Los Angeles ED Visits - by Zip Code 2013,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90606,5.64,0.676,23.528,Rate is unstable interpret with caution
90623,25.496,6.572,75.693,Rate is unstable interpret with caution
90631,11.564,4.883,24.491,Rate may be unstable
90638,1.535,0.039,14.531,Rate is unstable interpret with caution
90639,0,,,Not applicable
90640,5.506,1.495,15.743,Rate is unstable interpret with caution
90650,5.741,2.082,13.889,Rate may be unstable
90660,8.582,3.133,20.306,Rate may be unstable
90670,20.849,4.3,66.455,Rate is unstable interpret with caution
90701,17.645,3.601,61.226,Rate is unstable interpret with caution
90703,4.74,0.549,20.967,Rate is unstable interpret with caution
90704,25.866,0.655,2530.125,Rate is unstable interpret with caution
90706,14.303,6.725,28.23,Rate may be unstable
90710,6.955,0.804,30.083,Rate is unstable interpret with caution
90712,8.87,1.781,29.602,Rate is unstable interpret with caution
90713,17.583,5.604,44.392,Rate may be unstable
90715,0,,,Not applicable
90716,0,,,Not applicable
90717,17.473,4.705,66.768,Rate is unstable interpret with caution
90723,3.776,0.453,29.93,Rate is unstable interpret with caution
90731,24.739,14.266,42.063,Rate is stable
90732,11.699,2.27,48.068,Rate is unstable interpret with caution
90740,33.276,11.537,80.716,Rate may be unstable
90744,13.361,5.248,33.578,Rate may be unstable
90745,8.739,2.714,22.501,Rate may be unstable
90746,12.642,2.542,40.761,Rate is unstable interpret with caution
90747,0,,,Not applicable
90755,0,,,Not applicable
90802,26.597,12.251,58.631,Rate may be unstable
90803,22.698,10.184,58.093,Rate may be unstable
90804,12.711,4.535,53.027,Rate may be unstable
90805,18.258,10.724,33.296,Rate is stable
90806,8.404,1.711,27.251,Rate is unstable interpret with caution
90807,6.864,0.77,27.63,Rate is unstable interpret with caution
90808,15.935,5.537,37.73,Rate may be unstable
90810,3.503,0.089,20.67,Rate is unstable interpret with caution
90813,29.69,16.537,53.055,Rate is stable
90814,11.765,2.417,50.737,Rate is unstable interpret with caution
90815,8.816,2.768,25.936,Rate may be unstable
90822,0,,,Not applicable
90840,0,,,Not applicable
91001,8.995,1.854,27.381,Rate is unstable interpret with caution
91006,20.424,7.494,47.202,Rate may be unstable
91007,0,,,Not applicable
91008,0,,,Not applicable
91010,3.748,0.095,25.138,Rate is unstable interpret with caution
91011,0,,,Not applicable
91016,4.803,0.582,20.436,Rate is unstable interpret with caution
91020,47.435,12.873,163.998,Rate is unstable interpret with caution
91024,0,,,Not applicable
91030,5.494,0.139,31.4,Rate is unstable interpret with caution
91040,18.254,4.769,59.223,Rate is unstable interpret with caution
91042,13.506,3.555,42.973,Rate is unstable interpret with caution
91101,18.654,5.256,77.493,Rate may be unstable
91103,15.703,4.11,44.367,Rate is unstable interpret with caution
91104,8.961,2.438,26.624,Rate is unstable interpret with caution
91105,0,,,Not applicable
91106,7.545,0.909,43.462,Rate is unstable interpret with caution
91107,15.371,4.927,40.105,Rate may be unstable
91108,0,,,Not applicable
91201,7.582,0.86,35.777,Rate is unstable interpret with caution
91202,8.154,0.988,39.208,Rate is unstable interpret with caution
91203,10.891,1.304,67.918,Rate is unstable interpret with caution
91204,5.003,0.127,48.201,Rate is unstable interpret with caution
91205,6.554,1.352,24.036,Rate is unstable interpret with caution
91206,10.051,2.636,32.31,Rate is unstable interpret with caution
91207,5.159,0.131,83.177,Rate is unstable interpret with caution
91208,18.097,3.448,61.509,Rate is unstable interpret with caution
91214,10.371,2.02,37.175,Rate is unstable interpret with caution
91301,34.222,13.071,77.478,Rate may be unstable
91302,28.352,10.249,72.502,Rate may be unstable
91303,18.597,5.979,73.073,Rate may be unstable
91304,25.607,13.526,44.917,Rate is stable
91306,24.113,11.849,44.672,Rate may be unstable
91307,36.593,14.352,80.202,Rate may be unstable
91311,28.276,13.339,55.551,Rate may be unstable
91316,10.132,1.76,38.599,Rate is unstable interpret with caution
91321,7.77,1.582,30.333,Rate is unstable interpret with caution
91324,22.797,8.745,53.271,Rate may be unstable
91325,9.093,2.421,29.637,Rate is unstable interpret with caution
91326,4.477,0.5,22.353,Rate is unstable interpret with caution
91330,0,,,Not applicable
91331,8.437,3.515,18.721,Rate may be unstable
91335,16.156,8.562,28.977,Rate is stable
91340,7.346,1.503,34.229,Rate is unstable interpret with caution
91342,12.342,6.121,23.33,Rate may be unstable
91343,6.721,1.696,19.635,Rate is unstable interpret with caution
91344,20.739,10.164,39.026,Rate may be unstable
91345,27.4,9.987,68.147,Rate may be unstable
91350,17.974,7.153,45.781,Rate may be unstable
91351,18.013,6.544,50.579,Rate may be unstable
91352,21.726,9.729,43.061,Rate may be unstable
91354,6.079,0.154,41.863,Rate is unstable interpret with caution
91355,21.069,8.309,46.466,Rate may be unstable
91356,39.564,19.517,73.699,Rate may be unstable
91361,13.774,0.349,76.746,Rate is unstable interpret with caution
91362,29.496,12.816,60.903,Rate may be unstable
91364,39.866,17.87,79.62,Rate may be unstable
91367,25.2,12.315,48.065,Rate may be unstable
91371,0,,,Not applicable
91381,0,,,Not applicable
91384,19.971,7.719,76.432,Rate may be unstable
91387,8.241,1.686,33.62,Rate is unstable interpret with caution
91390,35.854,12.354,92.355,Rate may be unstable
91401,23.022,11.337,46.727,Rate may be unstable
91402,8.493,3.042,24.292,Rate may be unstable
91403,73.928,32.105,155.629,Rate may be unstable
91405,5.593,1.149,22.387,Rate is unstable interpret with caution
91406,14.043,6.004,30.714,Rate may be unstable
91411,6.974,0.844,46.06,Rate is unstable interpret with caution
91423,27.926,11.437,64.937,Rate may be unstable
91436,12.555,0.318,71.349,Rate is unstable interpret with caution
