Los Angeles Deaths - by Zip Code 2022,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90638,1.951,0.049,17.166,Rate is unstable interpret with caution
90640,20.044,10.242,35.741,Rate is stable
90650,19.894,12.033,31.305,Rate is stable
90660,10.235,3.684,24.276,Rate may be unstable
90670,24.113,6.16,67.289,Rate is unstable interpret with caution
90701,11.055,1.293,47.662,Rate is unstable interpret with caution
90703,3.613,0.36,16.443,Rate is unstable interpret with caution
90704,7.916,0.2,329.255,Rate is unstable interpret with caution
90706,11.232,5.076,22.052,Rate may be unstable
90710,13.21,3.224,38.256,Rate is unstable interpret with caution
90712,14.42,4.613,37.259,Rate may be unstable
90713,4.295,0.466,25.198,Rate is unstable interpret with caution
90715,10.21,1.23,42.122,Rate is unstable interpret with caution
90716,25.551,5.262,77.278,Rate is unstable interpret with caution
90717,36.961,14.235,82.476,Rate may be unstable
90723,8.139,2.194,24.377,Rate is unstable interpret with caution
90731,33.821,21.011,53.048,Rate is stable
90732,9.855,1.84,44.811,Rate is unstable interpret with caution
90740,47.877,16.602,120.962,Rate may be unstable
90744,15.352,6.791,30.745,Rate may be unstable
90745,15.402,6.864,30.72,Rate may be unstable
90746,4.101,0.104,38.362,Rate is unstable interpret with caution
90747,0,,,Not applicable
90755,18.592,3.651,82.565,Rate is unstable interpret with caution
90802,27.933,13.897,57.754,Rate may be unstable
90803,17.341,6.593,50.827,Rate may be unstable
90804,28.384,13.398,62.632,Rate may be unstable
90805,13.734,6.995,25.142,Rate is stable
90806,16.425,6.495,37.786,Rate may be unstable
90807,19.056,6.891,44.239,Rate may be unstable
90808,17.718,6.853,40.365,Rate may be unstable
90810,33.173,16.498,61.751,Rate may be unstable
90813,24.314,13.252,45.84,Rate is stable
90814,15.407,2.988,76.146,Rate is unstable interpret with caution
90815,12.302,3.34,31.828,Rate is unstable interpret with caution
90822,0,,,Not applicable
91001,10.065,1.955,31.91,Rate is unstable interpret with caution
91006,8.226,0.986,31.212,Rate is unstable interpret with caution
91007,5.944,0.694,29.27,Rate is unstable interpret with caution
91008,0,,,Not applicable
91010,15.216,3.789,44.385,Rate is unstable interpret with caution
91011,17.661,2.139,66.402,Rate is unstable interpret with caution
91016,10.194,2.724,28.269,Rate is unstable interpret with caution
91020,8.07,0.204,177.551,Rate is unstable interpret with caution
91024,0,,,Not applicable
91030,7.694,0.916,40.426,Rate is unstable interpret with caution
91040,55.406,26.958,108.454,Rate may be unstable
91042,21.298,7.367,53.804,Rate may be unstable
91101,3.608,0.091,60.952,Rate is unstable interpret with caution
91103,25.836,10.197,55.604,Rate may be unstable
91104,7.049,1.393,25.367,Rate is unstable interpret with caution
91105,0,,,Not applicable
91106,11.022,2.214,53.974,Rate is unstable interpret with caution
91107,11.161,3.035,34.977,Rate is unstable interpret with caution
91108,0,,,Not applicable
91201,11.64,2.283,44.181,Rate is unstable interpret with caution
91202,11.623,1.405,49.887,Rate is unstable interpret with caution
91203,3.461,0.088,53.593,Rate is unstable interpret with caution
91204,0,,,Not applicable
91205,4.58,0.549,22.614,Rate is unstable interpret with caution
91206,21.588,8.603,49.602,Rate may be unstable
91207,0,,,Not applicable
91208,7.819,0.198,79.364,Rate is unstable interpret with caution
91214,6.425,0.759,30.122,Rate is unstable interpret with caution
91301,4.959,0.601,34.177,Rate is unstable interpret with caution
91302,12.818,1.543,48.261,Rate is unstable interpret with caution
91303,13.414,4.122,42.299,Rate may be unstable
91304,18.865,8.885,36.08,Rate may be unstable
91306,29.194,15.883,49.804,Rate is stable
91307,9.342,0.779,46.068,Rate is unstable interpret with caution
91311,33.804,17.807,60.112,Rate is stable
91316,30.767,14.021,67.507,Rate may be unstable
91321,20.79,7.371,49.436,Rate may be unstable
91324,24.31,10.344,52.839,Rate may be unstable
91325,20.966,8.916,46.561,Rate may be unstable
91326,8.561,1.687,29.898,Rate is unstable interpret with caution
91330,0,,,Not applicable
91331,11.788,6.03,21.283,Rate is stable
91335,21.358,12.4,34.973,Rate is stable
91340,17.339,6.317,41.543,Rate may be unstable
91342,10.89,5.155,20.433,Rate may be unstable
91343,22.452,12.447,37.724,Rate is stable
91344,23.458,11.652,42.806,Rate may be unstable
91345,14.278,1.729,60.086,Rate is unstable interpret with caution
91350,29.449,14.101,58.152,Rate may be unstable
91351,15.013,4.719,41.188,Rate may be unstable
91352,22.519,11.03,43.009,Rate may be unstable
91354,9.234,1.904,32.015,Rate is unstable interpret with caution
91355,29.756,12.77,60.21,Rate may be unstable
91356,19.226,6.813,47.338,Rate may be unstable
91361,12.874,2.098,54.216,Rate is unstable interpret with caution
91362,22.586,9.138,48.48,Rate may be unstable
91364,13.97,3.648,45.259,Rate is unstable interpret with caution
91367,16.315,6.38,37.328,Rate may be unstable
91371,0,,,Not applicable
91381,5.561,0.141,39.983,Rate is unstable interpret with caution
91384,22.238,8.774,57.106,Rate may be unstable
91387,22.598,10.206,47.395,Rate may be unstable
91390,15.357,1.856,59.525,Rate is unstable interpret with caution
91401,19.633,8.261,41.621,Rate may be unstable
91402,10.141,4.269,21.848,Rate may be unstable
91403,4.986,0.603,35.156,Rate is unstable interpret with caution
91405,17.827,8.772,33.841,Rate may be unstable
91406,33.471,19.364,55.249,Rate is stable
91411,24.359,8.731,60.948,Rate may be unstable
91423,16.812,6.122,45.894,Rate may be unstable
91436,10.963,1.328,57.178,Rate is unstable interpret with caution
91501,18.231,3.751,63.739,Rate is unstable interpret with caution
91502,18.042,1.632,93.874,Rate is unstable interpret with caution
91504,11.726,3.009,36.842,Rate is unstable interpret with caution
91505,2.429,0.061,21.544,Rate is unstable interpret with caution
91506,22.098,5.916,67.898,Rate is unstable interpret with caution
91601,31.045,14.807,63.729,Rate may be unstable
91602,3.114,0.079,53.766,Rate is unstable interpret with caution
91604,0,,,Not applicable
91605,11.667,4.607,27.099,Rate may be unstable
91606,23.721,11.694,44.85,Rate may be unstable
91607,10.197,2.097,48.781,Rate is unstable interpret with caution
91608,0,,,Not applicable
91702,16.019,7.233,32.149,Rate may be unstable
91706,6.919,2.208,16.727,Rate may be unstable
91711,11.301,2.311,35.287,Rate is unstable interpret with caution
91722,12.593,3.413,33.728,Rate is unstable interpret with caution
91723,17.205,3.547,55.382,Rate is unstable interpret with caution
91724,14.522,3.934,41.487,Rate is unstable interpret with caution
91731,4.988,0.596,24.296,Rate is unstable interpret with caution
91732,7.391,2.006,19.672,Rate is unstable interpret with caution
91733,5.843,1.155,20.092,Rate is unstable interpret with caution
91740,8.279,0.988,32.802,Rate is unstable interpret with caution
91741,10.256,1.218,39.245,Rate is unstable interpret with caution
91744,7.631,2.754,17.574,Rate may be unstable
91745,11.164,3.94,26.029,Rate may be unstable
91746,19.736,7.208,45.192,Rate may be unstable
91748,2.042,0.247,14.253,Rate is unstable interpret with caution
91750,22.172,8.396,49.995,Rate may be unstable
91754,6.459,0.755,27.948,Rate is unstable interpret with caution
91755,10.267,1.806,38.581,Rate is unstable interpret with caution
91766,14.074,6.63,27.142,Rate may be unstable
91767,19.589,8.89,37.91,Rate may be unstable
