Lake Deaths - by Zip Code 2018,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95422,31.883,12.075,84.923,Rate may be unstable
95423,12.121,0.307,480.136,Rate is unstable interpret with caution
95443,167.615,4.244,1240.964,Rate is unstable interpret with caution
95451,7.802,0.926,68.79,Rate is unstable interpret with caution
95453,14.673,1.256,105.568,Rate is unstable interpret with caution
95457,97.856,5.432,672.896,Rate is unstable interpret with caution
95458,18.923,0.479,541.237,Rate is unstable interpret with caution
95461,0,,,Not applicable
95464,112.436,24.706,542.744,Rate is unstable interpret with caution
95467,31.69,0.802,183.081,Rate is unstable interpret with caution
95469,0,,,Not applicable
95485,0,,,Not applicable
95493,0,,,Not applicable
California,5.82,5.59,6.062,Rate is stable
Lake,22.697,13.568,38.19,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
