San Benito  - by Zip Code 2020,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93925,413.377,367.148,479.879,Rate is stable
93930,198.27,190.267,206.595,Rate is stable
95004,394.528,371.816,418.78,Rate is stable
95023,314.737,310.022,319.512,Rate is stable
95043,228.584,190.861,272.814,Rate is stable
95045,247.731,233.287,263.029,Rate is stable
California,333.302,333.129,333.475,Rate is stable
San Benito,288.494,284.4,292.637,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
