Amador  - by Zip Code 2013,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95629,514.906,458.38,580.526,Rate is stable
95640,864.137,846.895,881.766,Rate is stable
95642,1466.272,1434.891,1498.278,Rate is stable
95665,930.708,898.547,964.495,Rate is stable
95666,1001.413,967.353,1036.7,Rate is stable
95669,1023.63,983.773,1065.112,Rate is stable
95685,1060.146,1025.672,1095.706,Rate is stable
95689,1520.386,1288.307,1787.337,Rate is stable
Amador,967.123,957.14,977.212,Rate is stable
California,573.982,573.745,574.22,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
