Tehama  - by Zip Code 2012,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95428,1333.454,1276.699,1392.558,Rate is stable
95963,1081.249,1064.117,1098.643,Rate is stable
95973,927.036,916.864,937.304,Rate is stable
96021,1171.02,1153.743,1188.517,Rate is stable
96022,1071.731,1055.798,1087.891,Rate is stable
96035,1024.663,988.815,1061.798,Rate is stable
96055,1484.547,1444.093,1526.051,Rate is stable
96059,1154.637,1038.686,1285.101,Rate is stable
96063,441.466,330.538,593.262,Rate is stable
96075,1992.47,1773.194,2268.912,Rate is stable
96076,1317.24,1039.92,1680.967,Rate is stable
96080,1475.509,1460.646,1490.507,Rate is stable
California,596.7,596.46,596.948,Rate is stable
Tehama,1105.802,1097.575,1114.082,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.02.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/02/26., https://skylab.cdph.ca.gov/ODdash/,,
