Los Angeles  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90723,235.673,231.227,240.194,Rate is stable
90731,309.977,305.722,314.286,Rate is stable
90732,302.559,295.581,309.72,Rate is stable
90740,282.601,275.466,289.989,Rate is stable
90744,226.575,222.458,230.754,Rate is stable
90745,201.296,197.693,204.957,Rate is stable
90746,243.498,237.957,249.195,Rate is stable
90747,0,,,Not applicable
90755,429.422,416.831,442.362,Rate is stable
90802,374.165,367.383,381.069,Rate is stable
90803,286.043,279.559,292.686,Rate is stable
90804,415.713,407.948,423.625,Rate is stable
90805,289.882,286.225,293.579,Rate is stable
90806,329.462,323.662,335.354,Rate is stable
90807,299.735,294.035,305.534,Rate is stable
90808,253.775,249.135,258.501,Rate is stable
90810,229.19,224.306,234.174,Rate is stable
90813,301.415,296.086,306.833,Rate is stable
90814,356.137,346.812,365.744,Rate is stable
90815,281.399,276.275,286.606,Rate is stable
90822,20.047,5.59,54.461,Rate may be unstable
91001,195.079,191.011,199.231,Rate is stable
91006,130.766,127.117,134.515,Rate is stable
91007,131.231,127.651,134.922,Rate is stable
91008,187.092,161.08,218.147,Rate is stable
91010,261.729,256.031,267.548,Rate is stable
91011,167.417,161.759,173.275,Rate is stable
91016,248.069,243.64,252.573,Rate is stable
91020,226.26,215.744,237.556,Rate is stable
91024,202.236,194.372,210.509,Rate is stable
91030,183.839,178.645,189.196,Rate is stable
91040,256.662,250.391,263.104,Rate is stable
91042,268.252,262.471,274.164,Rate is stable
91101,285.904,277.855,294.227,Rate is stable
91103,269.419,263.47,275.486,Rate is stable
91104,235.129,230.587,239.756,Rate is stable
91105,261.35,253.005,270.026,Rate is stable
91106,178.07,172.75,183.587,Rate is stable
91107,198.362,193.937,202.892,Rate is stable
91108,124.811,118.917,131.046,Rate is stable
91201,219.972,214.349,225.748,Rate is stable
91202,206.702,201.055,212.517,Rate is stable
91203,290.136,281.345,299.199,Rate is stable
91204,266.506,259.405,273.793,Rate is stable
91205,230.138,225.705,234.66,Rate is stable
91206,189.288,184.975,193.706,Rate is stable
91207,183.751,175.416,192.551,Rate is stable
91208,221.783,214.385,229.508,Rate is stable
91214,181.687,177.32,186.166,Rate is stable
91301,290.407,284.046,296.919,Rate is stable
91302,248.353,242.688,254.158,Rate is stable
91303,341.21,333.386,349.193,Rate is stable
91304,244.892,240.981,248.859,Rate is stable
91306,220.54,216.571,224.572,Rate is stable
91307,304.312,297.993,310.783,Rate is stable
91311,278.114,273.496,282.808,Rate is stable
91316,254.289,248.947,259.771,Rate is stable
91321,352.262,345.899,358.741,Rate is stable
91324,245.833,240.616,251.16,Rate is stable
91325,274.802,269.452,280.255,Rate is stable
91326,200.786,196.466,205.203,Rate is stable
91330,31.291,7.43,87.001,Rate is unstable interpret with caution
91331,193.72,191.023,196.451,Rate is stable
91335,251.402,248.14,254.702,Rate is stable
91340,190.648,186.154,195.241,Rate is stable
91342,262.789,259.583,266.029,Rate is stable
91343,214.15,210.652,217.697,Rate is stable
91344,262.785,258.854,266.771,Rate is stable
91345,265.813,258.687,273.141,Rate is stable
91350,427.32,420.735,434.003,Rate is stable
91351,429.502,422.059,437.065,Rate is stable
