Inyo  - by Zip Code 2011,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
92328,108.186,60.695,215.499,Rate is stable
92384,89.874,33.65,212.517,Rate may be unstable
92389,587.545,376.47,900.244,Rate is stable
93513,839.048,794.28,886.543,Rate is stable
93514,699.549,685.445,713.906,Rate is stable
93526,712.267,642.93,790.966,Rate is stable
93527,2322.873,2229.692,2420.215,Rate is stable
93545,1029.828,981.237,1080.652,Rate is stable
93555,908.923,898.656,919.29,Rate is stable
California,588.555,588.31,588.8,Rate is stable
Inyo,775.1,762.652,787.737,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
