Merced  - by Zip Code 2013,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93610,682.547,671.094,694.211,Rate is stable
93620,749.868,731.591,768.536,Rate is stable
93622,475.596,458.86,492.936,Rate is stable
93635,877.7,867.855,887.648,Rate is stable
95301,884.064,874.235,893.984,Rate is stable
95303,652.044,583.345,728.355,Rate is stable
95315,790.58,766.626,815.616,Rate is stable
95316,987.448,962.232,1013.219,Rate is stable
95317,622.123,555.221,696.047,Rate is stable
95322,799.333,779.02,820.16,Rate is stable
95324,733.351,713.701,753.457,Rate is stable
95333,593.4,562.828,625.389,Rate is stable
95334,495.574,483.894,507.484,Rate is stable
95340,1211.478,1199.583,1223.475,Rate is stable
95341,445.282,436.893,453.817,Rate is stable
95348,645.498,636.151,654.96,Rate is stable
95360,961.119,940.364,982.474,Rate is stable
95365,390.097,369.226,412.03,Rate is stable
95369,929.401,855.203,1009.919,Rate is stable
95374,987.01,934.795,1041.999,Rate is stable
95380,1075.179,1064.872,1085.571,Rate is stable
95388,738.391,722.201,754.889,Rate is stable
California,573.982,573.745,574.22,Rate is stable
Merced,775.53,771.955,779.122,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
