Colusa  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95912,269.874,252.473,288.474,Rate is stable
95932,367.212,353.926,380.959,Rate is stable
95955,397.977,359.759,440.779,Rate is stable
95957,774.393,702.95,853.633,Rate is stable
95970,440.588,359.299,549.713,Rate is stable
95979,880.669,646.373,1197.958,Rate is stable
95987,465.76,445.198,487.113,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Colusa,354.684,346.678,362.856,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
