Lassen  - by Zip Code 2022,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
96006,279.534,206.657,426.345,Rate is stable
96056,421.197,368.677,485.962,Rate is stable
96109,558.111,476.269,652.243,Rate is stable
96113,115.415,99.526,137.245,Rate is stable
96114,364.862,326.477,408.516,Rate is stable
96117,148,104.83,214.903,Rate is stable
96119,0,,,Not applicable
96121,212.471,149.538,294.38,Rate is stable
96123,587.215,347.004,934.915,Rate is stable
96128,88.074,61.72,135.472,Rate is stable
96130,266.779,259.474,274.273,Rate is stable
96132,76.385,1.934,432.579,Rate is unstable interpret with caution
96136,156.423,83.288,267.487,Rate is stable
96137,377.925,354.332,403.675,Rate is stable
California,291.048,290.889,291.206,Rate is stable
Lassen,263.494,257.966,269.132,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
