San Bernardino  - by Zip Code 2013,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91701,539.915,532.812,547.1,Rate is stable
91708,780.446,710.41,860.94,Rate is stable
91709,343.527,339.322,347.781,Rate is stable
91710,390.181,385.887,394.524,Rate is stable
91730,566.113,560.155,572.129,Rate is stable
91737,472.334,463.504,481.336,Rate is stable
91739,358.083,351.24,365.111,Rate is stable
91759,830.362,735.486,939.218,Rate is stable
91761,446.326,440.131,452.616,Rate is stable
91762,492.09,485.942,498.315,Rate is stable
91763,475.473,468.019,483.028,Rate is stable
91764,514.066,507.385,520.832,Rate is stable
91765,266.795,262.202,271.465,Rate is stable
91784,420.685,412.807,428.705,Rate is stable
91786,701.331,694.131,708.595,Rate is stable
92242,360.234,311.341,417.984,Rate is stable
92252,1428.486,1403.862,1453.529,Rate is stable
92256,1203.839,1160.496,1249.052,Rate is stable
92277,789.156,776.046,802.463,Rate is stable
92278,24.008,15.826,36.665,Rate is stable
92280,5.048,0.128,28.124,Rate is unstable interpret with caution
92284,1265.015,1251.078,1279.119,Rate is stable
92285,1390.439,1339.016,1444.317,Rate is stable
92301,881.795,869.831,893.922,Rate is stable
92304,0,,,Not applicable
92305,1402.526,1217.419,1612.399,Rate is stable
92307,1145.488,1134.411,1156.663,Rate is stable
92308,902.166,892.65,911.773,Rate is stable
92309,388.501,325.661,464.719,Rate is stable
92310,361.678,294.125,442.045,Rate is stable
92311,948.087,936.937,959.353,Rate is stable
92313,764.442,749.377,779.813,Rate is stable
92314,688.459,673.344,703.876,Rate is stable
92315,1600.615,1564.662,1637.336,Rate is stable
92316,452.187,444.063,460.443,Rate is stable
92321,1053.916,974.93,1139.918,Rate is stable
92322,458.449,415.956,508.776,Rate is stable
92324,648.11,640.91,655.381,Rate is stable
92325,1244.861,1217.559,1272.768,Rate is stable
92327,1442.872,1305.393,1593.706,Rate is stable
92332,144.234,52.931,313.937,Rate may be unstable
92335,533.337,528.103,538.619,Rate is stable
92336,429.089,424.19,434.055,Rate is stable
92337,396.422,389.014,404.001,Rate is stable
92339,793.845,720.051,876.327,Rate is stable
92342,771.691,749.094,794.903,Rate is stable
92344,476.076,466.115,486.278,Rate is stable
92345,933.595,926.584,940.652,Rate is stable
92346,622.773,616.299,629.309,Rate is stable
92347,1319.94,1236.271,1408.387,Rate is stable
92352,735.925,705.572,768.169,Rate is stable
92354,603.046,592.589,613.684,Rate is stable
92356,1005.79,979.763,1032.631,Rate is stable
92358,989.152,899.523,1087.025,Rate is stable
92359,757.964,738.418,777.964,Rate is stable
92363,700.843,676.56,725.957,Rate is stable
92365,787.25,734.096,844.829,Rate is stable
92368,806.916,745.105,874.021,Rate is stable
92371,571.89,559.726,584.319,Rate is stable
92372,657.57,634.664,681.341,Rate is stable
92373,756.299,747.192,765.506,Rate is stable
92374,609.838,602.077,617.686,Rate is stable
92376,567.088,561.405,572.823,Rate is stable
92377,555.851,545.049,566.841,Rate is stable
92382,891.752,865.557,918.789,Rate is stable
92385,615.067,505.648,748.652,Rate is stable
92392,988.717,979.346,998.184,Rate is stable
92394,702.22,691.521,713.147,Rate is stable
92395,996.114,985.984,1006.333,Rate is stable
92397,835.772,805.847,867.208,Rate is stable
92399,863.154,855.326,871.045,Rate is stable
92401,2071.53,1959.132,2190.058,Rate is stable
92404,1047.092,1038.219,1056.026,Rate is stable
92405,776.116,764.705,787.703,Rate is stable
92407,597.54,590.468,604.703,Rate is stable
92408,666.536,651.064,682.33,Rate is stable
92410,669.7,660.936,678.584,Rate is stable
92411,680.448,669.277,691.785,Rate is stable
93528,9.943,3.317,24.005,Rate may be unstable
93555,883.694,873.658,893.828,Rate is stable
93562,1056.736,1003.255,1112.828,Rate is stable
California,573.982,573.745,574.22,Rate is stable
San Bernardino,664.465,663.308,665.625,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
