Glenn  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95920,630.711,508.406,787.797,Rate is stable
95939,365.717,315.783,424.931,Rate is stable
95943,442.256,387.436,507.039,Rate is stable
95951,395.635,365.701,427.91,Rate is stable
95963,512.426,500.519,524.599,Rate is stable
95970,440.588,359.299,549.713,Rate is stable
95988,545.358,529.123,562.134,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Glenn,499.164,490.836,507.62,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
